[2017-07-26 22:04:20,970.057][INFO ] main,68> Software Svn Version: 1453
[2017-07-26 23:05:54,471.440][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 23:05:54,801.458][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 23:06:48,402.524][WARN ] OcdcMarketPoller::QueryMarketInfoImpl,67> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:06:48,494.529][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:06:54,125.451][WARN ] OcdcMarketPoller::QueryMarketInfoImpl,67> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:07:04,189.026][WARN ] OcdcMarketPoller::QueryMarketInfoImpl,67> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:07:05,341.092][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:07:06,308.147][WARN ] OcdcMarketPoller::QueryMarketInfoImpl,67> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:07:08,429.868][WARN ] OcdcMarketPoller::QueryMarketInfoImpl,67> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:07:10,550.989][WARN ] OcdcMarketPoller::QueryMarketInfoImpl,67> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:07:12,090.077][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:07:12,675.111][WARN ] OcdcMarketPoller::QueryMarketInfoImpl,67> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:07:13,635.166][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 23:07:14,795.232][WARN ] OcdcMarketPoller::QueryMarketInfoImpl,67> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:07:15,856.293][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:07:16,916.353][WARN ] OcdcMarketPoller::QueryMarketInfoImpl,67> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:07:18,103.421][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:07:19,037.475][WARN ] OcdcMarketPoller::QueryMarketInfoImpl,67> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:07:20,319.548][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:07:21,161.596][WARN ] OcdcMarketPoller::QueryMarketInfoImpl,67> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:07:22,538.274][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:07:23,281.713][WARN ] OcdcMarketPoller::QueryMarketInfoImpl,67> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:07:23,289.714][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 23:07:25,415.633][WARN ] OcdcMarketPoller::QueryMarketInfoImpl,67> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:07:25,513.638][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:07:27,543.151][WARN ] OcdcMarketPoller::QueryMarketInfoImpl,67> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:07:27,727.161][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:07:29,662.272][WARN ] OcdcMarketPoller::QueryMarketInfoImpl,67> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:07:29,942.288][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:07:31,783.393][WARN ] OcdcMarketPoller::QueryMarketInfoImpl,67> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
